,Name,Label,Editing,Model,Model_Type,Specifier,Value,Units,Temperature_Value,Temperature_Units,Value_Average,Temperature_Average,Pressure,Process,Direction_of_Measurement,Resolution,DOI,Title,Access_Type,Publisher,Publication_Year,Authors,Journal,kL_avg,composition_name
21,TiS2,,,ThermCond,lattice,κlat,[4.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),4.0,295.0,,,in plane,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,4.0,TiS2
22,AgCrSe2,,,ThermCond,lattice,κlat,"[0.4, 0.6]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[200.0, 500.0]",Kelvin^(1.0),0.5,350.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,0.5,AgCrSe2
25,CoSb3,,,ThermCond,lattice,lattice thermal conductivity,"[8.0, 10.0]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),9.0,295.0,,,,,10.1039/c6ee00322b,Electronegative guests in CoSb3,payment,RSC,2016,"Bo Duan, Jiong Yang, James R. Salvador, Yang He, Bo Zhao, Shanyu Wang, Ping Wei, Fumio S. Ohuchi, Wenqing Zhang, Raphaël P. Hermann, Olivier Gourdon, Scott X. Mao, Yingwen Cheng, Chongmin Wang, Jun Liu, Pengcheng Zhai, Xinfeng Tang, Qingjie Zhang, Jihui Yang, Bo Duan, Jiong Yang, James R. Salvador, Yang He, Bo Zhao, Shanyu Wang, Ping Wei, Fumio S. Ohuchi, Wenqing Zhang, Raphaël P. Hermann, Olivier Gourdon, Scott X. Mao, Yingwen Cheng, Chongmin Wang, Jun Liu, Pengcheng Zhai, Xinfeng Tang, Qingjie Zhang, Jihui Yang",Energy & Environmental Science,9.0,CoSb3
27,CoSb3,,,ThermCond,lattice,lattice thermal conductivity,[10.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),10.0,295.0,,,,,10.1039/c6ee00322b,Electronegative guests in CoSb3,payment,RSC,2016,"Bo Duan, Jiong Yang, James R. Salvador, Yang He, Bo Zhao, Shanyu Wang, Ping Wei, Fumio S. Ohuchi, Wenqing Zhang, Raphaël P. Hermann, Olivier Gourdon, Scott X. Mao, Yingwen Cheng, Chongmin Wang, Jun Liu, Pengcheng Zhai, Xinfeng Tang, Qingjie Zhang, Jihui Yang, Bo Duan, Jiong Yang, James R. Salvador, Yang He, Bo Zhao, Shanyu Wang, Ping Wei, Fumio S. Ohuchi, Wenqing Zhang, Raphaël P. Hermann, Olivier Gourdon, Scott X. Mao, Yingwen Cheng, Chongmin Wang, Jun Liu, Pengcheng Zhai, Xinfeng Tang, Qingjie Zhang, Jihui Yang",Energy & Environmental Science,10.0,CoSb3
33,Co3O4,,,ThermCond,total,thermal conductivity,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1073.0],Kelvin^(1.0),1.6,1073.0,,,,,10.1016/j.materresbull.2012.07.037,Synthesis of thermoelectric Ca3Co4O9 ceramics with high ZT values from a CoIICoIII-Layered Double Hydroxide precursor ,payment,Elsevier,2012,DELORME,Materials Research Bulletin,1.6,Co3O4
33,Co3O4,,,ThermCond,total,thermal conductivity,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1073.0],Kelvin^(1.0),1.6,1073.0,,,,,10.1016/j.materresbull.2012.07.037,Synthesis of thermoelectric Ca3Co4O9 ceramics with high ZT values from a CoIICoIII-Layered Double Hydroxide precursor ,payment,Elsevier,2012,DELORME,Materials Research Bulletin,1.6,Co3O4
34,Co3O4,,,ThermCond,total,thermal conductivity,[2.1],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[500.0, 1100.0]",Kelvin^(1.0),2.1,800.0,,,,,10.1016/j.materresbull.2012.07.037,Synthesis of thermoelectric Ca3Co4O9 ceramics with high ZT values from a CoIICoIII-Layered Double Hydroxide precursor ,payment,Elsevier,2012,DELORME,Materials Research Bulletin,2.1,Co3O4
34,Co3O4,,,ThermCond,total,thermal conductivity,[2.1],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[500.0, 1100.0]",Kelvin^(1.0),2.1,800.0,,,,,10.1016/j.materresbull.2012.07.037,Synthesis of thermoelectric Ca3Co4O9 ceramics with high ZT values from a CoIICoIII-Layered Double Hydroxide precursor ,payment,Elsevier,2012,DELORME,Materials Research Bulletin,2.1,Co3O4
35,CO3O4,,,ThermCond,total,thermal conductivity,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1073.0],Kelvin^(1.0),1.6,1073.0,,,,,10.1016/j.materresbull.2012.07.037,Synthesis of thermoelectric Ca3Co4O9 ceramics with high ZT values from a CoIICoIII-Layered Double Hydroxide precursor ,payment,Elsevier,2012,DELORME,Materials Research Bulletin,1.6,CO3O4
35,CO3O4,,,ThermCond,total,thermal conductivity,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1073.0],Kelvin^(1.0),1.6,1073.0,,,,,10.1016/j.materresbull.2012.07.037,Synthesis of thermoelectric Ca3Co4O9 ceramics with high ZT values from a CoIICoIII-Layered Double Hydroxide precursor ,payment,Elsevier,2012,DELORME,Materials Research Bulletin,1.6,CO3O4
38,Cu2Se,,,ThermCond,lattice,κl,[0.38],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.38,300.0,,,,,10.1016/j.intermet.2019.106541,Enhancement in thermoelectric performance of single step synthesized Mg doped Cu2Se: An experimental and theoretical study ,payment,Elsevier,2019,BHARDWAJ,Intermetallics,0.38,Cu2Se
42,NaCo2O4,,,ThermCond,total,thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.8,295.0,,,,,10.1016/j.jallcom.2005.07.067,"Thermoelectric properties of Na
x
Co2O4/Ag composites ",payment,Elsevier,2006,SEETAWAN,Journal of Alloys and Compounds,1.8,NaCo2O4
42,NaCo2O4,,,ThermCond,total,thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.8,295.0,,,,,10.1016/j.jallcom.2005.07.067,"Thermoelectric properties of Na
x
Co2O4/Ag composites ",payment,Elsevier,2006,SEETAWAN,Journal of Alloys and Compounds,1.8,NaCo2O4
44,Ba8Ga16Ge30,,,ThermCond,total,thermal conductivity,[3.65],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[27.0],Kelvin^(1.0),3.65,27.0,,,,,10.1016/j.jpcs.2008.10.020,"Structure and low-temperature properties of Ba8Ni6Ge40
",payment,Elsevier,2009,ZHANG,Journal of Physics and Chemistry of Solids,3.65,Ba8Ga16Ge30
44,Ba8Ga16Ge30,,,ThermCond,total,thermal conductivity,[3.65],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[27.0],Kelvin^(1.0),3.65,27.0,,,,,10.1016/j.jpcs.2008.10.020,"Structure and low-temperature properties of Ba8Ni6Ge40
",payment,Elsevier,2009,ZHANG,Journal of Physics and Chemistry of Solids,3.65,Ba8Ga16Ge30
44,Ba8Ga16Ge30,,,ThermCond,total,thermal conductivity,[3.65],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[27.0],Kelvin^(1.0),3.65,27.0,,,,,10.1016/j.jpcs.2008.10.020,"Structure and low-temperature properties of Ba8Ni6Ge40
",payment,Elsevier,2009,ZHANG,Journal of Physics and Chemistry of Solids,3.65,Ba8Ga16Ge30
45,Ba8Ga16Ge30,,,ThermCond,lattice,κL,[2.25],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),2.25,295.0,,,,,10.1016/j.jpcs.2008.10.020,"Structure and low-temperature properties of Ba8Ni6Ge40
",payment,Elsevier,2009,ZHANG,Journal of Physics and Chemistry of Solids,2.25,Ba8Ga16Ge30
45,Ba8Ga16Ge30,,,ThermCond,lattice,κL,[2.25],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),2.25,295.0,,,,,10.1016/j.jpcs.2008.10.020,"Structure and low-temperature properties of Ba8Ni6Ge40
",payment,Elsevier,2009,ZHANG,Journal of Physics and Chemistry of Solids,2.25,Ba8Ga16Ge30
45,Ba8Ga16Ge30,,,ThermCond,lattice,κL,[2.25],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),2.25,295.0,,,,,10.1016/j.jpcs.2008.10.020,"Structure and low-temperature properties of Ba8Ni6Ge40
",payment,Elsevier,2009,ZHANG,Journal of Physics and Chemistry of Solids,2.25,Ba8Ga16Ge30
47,Yb11InSb9,,,ThermCond,lattice,κlat,[0.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.6000000000000001,300.0,,,,,10.1039/c7ee02504a,High thermoelectric performance of α-MgAgSb for power generation,payment,RSC,2018,"Zihang Liu, Jun Mao, Jiehe Sui, Zhifeng Ren, Zihang Liu, Jun Mao, Jiehe Sui, Zhifeng Ren",Energy & Environmental Science,0.6,Yb11InSb9
47,Yb11InSb9,,,ThermCond,lattice,κlat,[0.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.6000000000000001,300.0,,,,,10.1039/c7ee02504a,High thermoelectric performance of α-MgAgSb for power generation,payment,RSC,2018,"Zihang Liu, Jun Mao, Jiehe Sui, Zhifeng Ren, Zihang Liu, Jun Mao, Jiehe Sui, Zhifeng Ren",Energy & Environmental Science,0.6,Yb11InSb9
64,Bi2Te2Se,,,ThermCond,lattice,lattice thermal conductivity,[1.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.3,295.0,,spin,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,1.3,Bi2Te2Se
64,Bi2Te2Se,,,ThermCond,lattice,lattice thermal conductivity,[1.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.3,295.0,,spin,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,1.3,Bi2Te2Se
65,Bi2Te2S,,,ThermCond,total,κ,[3.96],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),3.96,295.0,,,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,3.96,Bi2Te2S
65,Bi2Te2S,,,ThermCond,total,κ,[3.96],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),3.96,295.0,,,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,3.96,Bi2Te2S
66,Bi2Te2Se,,,ThermCond,total,κ,[3.92],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),3.92,295.0,,,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,3.92,Bi2Te2Se
66,Bi2Te2Se,,,ThermCond,total,κ,[3.92],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),3.92,295.0,,,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,3.92,Bi2Te2Se
67,Bi2Te3,,,ThermCond,total,κ,[2.5],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.5,300.0,,,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,2.5,Bi2Te3
67,Bi2Te3,,,ThermCond,total,κ,[2.5],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.5,300.0,,,,,10.1039/c8cp05793a,"Phonon transport and thermoelectric properties of semiconducting Bi2Te2X (X = S, Se, Te) monolayers",payment,RSC,2019,"Zahid Rashid, Arun S. Nissimagoudar, Wu Li, Zahid Rashid, Arun S. Nissimagoudar, Wu Li",Physical Chemistry Chemical Physics,2.5,Bi2Te3
68,CS1,,,ThermCond,total,thermal conductivity,[1.28],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.28,295.0,,,,,10.1039/c7cp04634k,Thermoelectric properties of Se and Zn/Cd/Sn double substituted Co4Sb12 skutterudite compounds,payment,RSC,2017,"Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K., Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K.",Physical Chemistry Chemical Physics,1.28,CS1
69,CS2,,,ThermCond,total,thermal conductivity,[0.97],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.97,295.0,,,,,10.1039/c7cp04634k,Thermoelectric properties of Se and Zn/Cd/Sn double substituted Co4Sb12 skutterudite compounds,payment,RSC,2017,"Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K., Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K.",Physical Chemistry Chemical Physics,0.97,CS2
70,Co4Sb12,,,ThermCond,total,κtotal,[9.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),9.0,300.0,,,,,10.1039/c7cp04634k,Thermoelectric properties of Se and Zn/Cd/Sn double substituted Co4Sb12 skutterudite compounds,payment,RSC,2017,"Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K., Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K.",Physical Chemistry Chemical Physics,9.0,Co4Sb12
70,Co4Sb12,,,ThermCond,total,κtotal,[9.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),9.0,300.0,,,,,10.1039/c7cp04634k,Thermoelectric properties of Se and Zn/Cd/Sn double substituted Co4Sb12 skutterudite compounds,payment,RSC,2017,"Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K., Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K.",Physical Chemistry Chemical Physics,9.0,Co4Sb12
71,CS1,,,ThermCond,total,κtotal,[0.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[673.0],Kelvin^(1.0),0.7000000000000001,673.0,,,,,10.1039/c7cp04634k,Thermoelectric properties of Se and Zn/Cd/Sn double substituted Co4Sb12 skutterudite compounds,payment,RSC,2017,"Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K., Karthikeyan N., Sivaprasad Ghanta, Jaiganesh G., Anbarasu V., Partha Pratim Jana, Sivakumar K.",Physical Chemistry Chemical Physics,0.7,CS1
72,CoSb3,,,ThermCond,total,thermal conductivity,[10.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),10.0,300.0,,,,,10.1016/j.jallcom.2012.11.167,Influence of ZnO nano-inclusions on the transport properties of the CoSb3 skutterudite ,payment,Elsevier,2013,CHUBILLEAU,Journal of Alloys and Compounds,10.0,CoSb3
73,CoSb3,,,ThermCond,total,κ,[5.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[650.0],Kelvin^(1.0),5.0,650.0,,,,,10.1016/j.jallcom.2012.11.167,Influence of ZnO nano-inclusions on the transport properties of the CoSb3 skutterudite ,payment,Elsevier,2013,CHUBILLEAU,Journal of Alloys and Compounds,5.0,CoSb3
74,Cu3SbSe3,,,ThermCond,total,thermal conductivity,"[0.7, 1.0]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.85,300.0,,,,,10.1038/s41524-020-00421-4,Dynamic disorder phonon scattering mediated by Cu atomic hopping and diffusion in Cu3SbSe3,payment,Springer,2020,"Wang Chen, Wu Yixuan, Pei Yanzhong, Chen Yue",npj Computational Materials,0.85,Cu3SbSe3
74,Cu3SbSe3,,,ThermCond,total,thermal conductivity,"[0.7, 1.0]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.85,300.0,,,,,10.1038/s41524-020-00421-4,Dynamic disorder phonon scattering mediated by Cu atomic hopping and diffusion in Cu3SbSe3,payment,Springer,2020,"Wang Chen, Wu Yixuan, Pei Yanzhong, Chen Yue",npj Computational Materials,0.85,Cu3SbSe3
77,Cu26V2Ge6S32,,,ThermCond,lattice,κlat,[0.33],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[663.0],Kelvin^(1.0),0.33,663.0,,,,,10.1039/c5tc02388b,Strong correlation between the crystal structure and the thermoelectric properties of pavonite homologue Cux+yBi5−yCh8 (Ch = S or Se) compounds,payment,RSC,2015,"Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim, Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim",Journal of Materials Chemistry C,0.33,Cu26V2Ge6S32
77,Cu26V2Ge6S32,,,ThermCond,lattice,κlat,[0.33],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[663.0],Kelvin^(1.0),0.33,663.0,,,,,10.1039/c5tc02388b,Strong correlation between the crystal structure and the thermoelectric properties of pavonite homologue Cux+yBi5−yCh8 (Ch = S or Se) compounds,payment,RSC,2015,"Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim, Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim",Journal of Materials Chemistry C,0.33,Cu26V2Ge6S32
77,Cu26V2Ge6S32,,,ThermCond,lattice,κlat,[0.33],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[663.0],Kelvin^(1.0),0.33,663.0,,,,,10.1039/c5tc02388b,Strong correlation between the crystal structure and the thermoelectric properties of pavonite homologue Cux+yBi5−yCh8 (Ch = S or Se) compounds,payment,RSC,2015,"Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim, Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim",Journal of Materials Chemistry C,0.33,Cu26V2Ge6S32
77,Cu26V2Ge6S32,,,ThermCond,lattice,κlat,[0.33],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[663.0],Kelvin^(1.0),0.33,663.0,,,,,10.1039/c5tc02388b,Strong correlation between the crystal structure and the thermoelectric properties of pavonite homologue Cux+yBi5−yCh8 (Ch = S or Se) compounds,payment,RSC,2015,"Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim, Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim",Journal of Materials Chemistry C,0.33,Cu26V2Ge6S32
80,Zn4Sb3,,,ThermCond,total,κ,[1.05],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.05,300.0,,,,,10.1039/c5tc02388b,Strong correlation between the crystal structure and the thermoelectric properties of pavonite homologue Cux+yBi5−yCh8 (Ch = S or Se) compounds,payment,RSC,2015,"Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim, Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim",Journal of Materials Chemistry C,1.05,Zn4Sb3
80,Zn4Sb3,,,ThermCond,total,κ,[1.05],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.05,300.0,,,,,10.1039/c5tc02388b,Strong correlation between the crystal structure and the thermoelectric properties of pavonite homologue Cux+yBi5−yCh8 (Ch = S or Se) compounds,payment,RSC,2015,"Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim, Jae-Yeol Hwang, Min-Wook Oh, Kyu Hyoung Lee, Sung Wng Kim",Journal of Materials Chemistry C,1.05,Zn4Sb3
