,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
18584,CrGeTe3,PF,,PF,[0.0007],[833.0],0.0007,833.0
18586,DEOPT,PF,,power factor,[0.00046899999999999996],[295],0.000469,295.0
18587,Mg40Si7Sn13,PF,,PF,[0.00256],[500.0],0.00256,500.0
18588,Mg40Si7Sn13,PF,,PF,[0.00256],[500.0],0.00256,500.0
18589,Al2Fe2Mn18Si33,PF,,power factors,[0.00195],[800.0],0.00195,800.0
18592,Cu10MgO20Rh9,PF,,highest power factor,[0.0007],[1000.0],0.0007,1000.0
18594,Br,PF,,power factor,[0.0005],[773.0],0.0005,773.0
18595,TeZn,PF,,power factor,[0.0045000000000000005],[295],0.0045000000000000005,295.0
18596,TeZn,PF,,power factor,[0.00445],[295],0.00445,295.0
18597,TeZn,PF,,highest PF,[0.0043],[295],0.0043,295.0
18598,TeZn,PF,,power factor,[0.0045000000000000005],[373.0],0.0045000000000000005,373.0
18599,Bi50Cu50O53Te50,PF,,power factor,[0.000624],[723.0],0.000624,723.0
18600,Bi50Cu50O53Te50,PF,,power factor,[0.000624],[723.0],0.000624,723.0
18601,BiCuOTe,PF,,power factor,[0.0005369999999999999],[723.0],0.0005369999999999999,723.0
18602,GeTe,PF,,power factor,[0.004200000000000001],[673.0],0.004200000000000001,673.0
18603,GeTe,PF,,power factor,[0.004200000000000001],[673.0],0.004200000000000001,673.0
18605,InTe,PF,,maximum power factor,[0.00063],[541.0],0.00063,541.0
18607,Bi19Cu20O19SSe20Zn,PF,,maximum power factor,[0.00045999999999999996],[750.0],0.00045999999999999996,750.0
18608,Ru,PF,,power factor,[0.000155],[873.0],0.000155,873.0
18609,Bi2Te3,PF,,maximum power factor,[0.001473],[295],0.0014730000000000001,295.0
18610,NaNbO3,PF,,maximum PF,[4.35e-05],[295],4.35e-05,295.0
18611,MnTe,PF,,power factor,[6.479999999999999e-05],[295],6.48e-05,295.0
18612,MnTe,PF,,power factor,[6.479999999999999e-05],[295],6.48e-05,295.0
18613,Cu3Mn37Te40,PF,,power factor,[1.8399999999999997e-05],[295],1.84e-05,295.0
18614,Cu3Mn37Te40,PF,,power factor,[0.0005842],[773.0],0.0005842000000000001,773.0
18615,Ge91Sn9,PF,,PF,[4.2000000000000006e-08],[300.0],4.2000000000000006e-08,300.0
18616,Ge87Sn13,PF,,PF,[4.4000000000000006e-05],[300.0],4.4e-05,300.0
18619,CNSTW,PF,,PF,[3e-06],[350.0],3e-06,350.0
18620,PbTe,PF,,highest power factors,[119760.0],[900.0],119760.0,900.0
18621,Ag2Se,PF,,PF,[0.0022],[295],0.0022,295.0
18623,GdNdS3,PF,,maximum power factor,[0.00029],[950.0],0.00029,950.0
18624,EuGdS4Sm,PF,,maximum power factor,[9.2e-07],[950.0],9.2e-07,950.0
18625,OZn,PF,,power factors,[0.00017999999999999998],[333.0],0.00018,333.0
18627,SnTe,PF,,power factor,[0.0017000000000000001],[573.0],0.0017,573.0
18628,PbTe,PF,,power factor,[0.0008500000000000001],[326.0],0.0008500000000000001,326.0
18629,Cu197S100,PF,,maximum PF,[0.00112],[1000.0],0.00112,1000.0
18630,Ge25Mg200Sb3Sn72,PF,,highest power factor,[0.00401],[573.0],0.0040100000000000005,573.0
18632,BiCuOSe,PF,,power factor,[0.0015170000000000001],[835.0],0.001517,835.0
18633,BiCuOSe,PF,,power factor,[0.0015170000000000001],[835.0],0.001517,835.0
18634,Cu9S5,PF,,power factor,[0.0012],[773.0],0.0012,773.0
18635,Fe,PF,,power factor,[0.0035],[748.0],0.0035,748.0
18636,Fe,PF,,power factor,[0.0035],[295],0.0035,295.0
18637,Ce11Co25Fe175La34Sb600,PF,,maximum PF,[0.0035],[723.0],0.0035,723.0
18638,Ce11Co25Fe175La34Sb600,PF,,power factor,[0.0035],[295],0.0035,295.0
18639,DEOPT,PF,,power factor,[1.1089999999999999e-05],[295],1.109e-05,295.0
18641,CNT,PF,,power factors,[0.00015099999999999998],[295],0.00015099999999999998,295.0
18642,CNSTW,PF,,power factors,[0.000526],[295],0.000526,295.0
18643,Ag4Pb90Sb5Te100,PF,,power factor,[0.00116],[673.0],0.00116,673.0
18644,Ba2O15Pb5Sr3,PF,,S2σ,[0.00043],[773.0],0.00043,773.0
18645,Bi25GaSb75Te150,PF,,power factor,[0.0022],[295],0.0022,295.0
18646,Bi25GaSb75Te150,PF,,power factor,[0.0022],[295],0.0022,295.0
18648,Cu10Se4Te,PF,,maximum PF,[0.0014500000000000001],[1000.0],0.00145,1000.0
18651,BiSbTe,PF,,PF,[0.0046],[300.0],0.0046,300.0
18652,Bi2Te3,PF,,S2σ,"[0.0015, 0.0021000000000000003]","[623.0, 673.0]",0.0018000000000000004,648.0
18653,Bi5Te7,PF,,S2σ.,[0.001284],[320.0],0.001284,320.0
18654,Bi100Te143,PF,,S2σ,[0.001284],[320.0],0.001284,320.0
18655,Cu2Se,PF,,PF,[2.3],[350.0],2.3,350.0
18657,S2Ti,PF,,power factor,[0.0010500000000000002],[295],0.0010500000000000002,295.0
18658,Bi198Ca65Mg190Yb35Zn10,PF,,PF,[0.001],[295],0.001,295.0
18659,Bi99Ca50Mg95Zn5,PF,,PF,[0.0005],[295],0.0005,295.0
18660,Bi2SeTe2,PF,,highest power factor,[0.00245],[369.0],0.0024500000000000004,369.0
18661,Bi2SeTe2,PF,,highest power factor,[0.00245],[369.0],0.0024500000000000004,369.0
18662,Bi40S57Se3,PF,,maximum PF,[0.000124],[573.0],0.000124,573.0
18663,Mn49SbTe50,PF,,highest power factor,[0.0017679999999999998],[730.0],0.0017679999999999996,730.0
18664,BiCuOSe,PF,,maximum power factor,[7.999999999999999e-05],[295],8e-05,295.0
18665,Bi3Sb197Yb100Zn200,PF,,PF,[0.00145],[700.0],0.00145,700.0
18666,Co80InPrSb240,PF,,power factor,[0.00233],[609.0],0.00233,609.0
18669,B2O3,PF,,maximum power factor,[0.0032],[823.0],0.0032,823.0
18670,SeSn,PF,,power factor,[0.00101],[295],0.00101,295.0
18671,A3B2HS167T2Ti83,PF,,power factor,[0.000904],[300.0],0.000904,300.0
18672,Ag21Sb29Te54,PF,,maximum power factor,[0.00235],[300.0],0.00235,300.0
18673,Ba10Mn13Sb20Zn7,PF,,maximum power factor,[6.300000000000001e-06],[473.0],6.3e-06,473.0
18674,Ba10Mn13Sb20Zn7,PF,,maximum power factor,[6.300000000000001e-06],[473.0],6.3e-06,473.0
18675,Hf30Ni103Sn100Zr70,PF,,power factor,[0.0030700000000000002],[773.0],0.00307,773.0
18676,Ce4Fe37Nd4Ni3Sb120,PF,,power factor,[0.0035],[295],0.0035,295.0
18677,Ce9Co10Fe70Nd9Sb240,PF,,power factor,[0.0036000000000000003],[700.0],0.0036000000000000008,700.0
18678,Fe,PF,,power factor,[0.0035],[748.0],0.0035,748.0
18679,Ce4Fe37Nd4Ni3Sb120,PF,,maximum power factor,[0.0035],[808.0],0.0035,808.0
18680,Ce4Fe37Nd4Ni3Sb120,PF,,power factor,[0.0035],[808.0],0.0035,808.0
18682,DEOPT,PF,,power factor,[0.000334],[295],0.000334,295.0
18683,O3SrTi,PF,,power factor,[0.002],[1000.0],0.002,1000.0
18684,BiCo19O40Zn10,PF,,power factor,[2.2999999999999996e-06],[668.0],2.3e-06,668.0
18685,BiCo19O40Zn10,PF,,power factor,[2.2999999999999996e-06],[668.0],2.3e-06,668.0
18686,SnTe8,PF,,optimal power factor,[0.0001146],[295],0.0001146,295.0
18687,Fe,PF,,power factor,[0.0035],[295],0.0035,295.0
18688,Ca7Ce7Co10Fe70Nd7Sb240,PF,,maximum power factor,[0.0035],[748.0],0.0035,748.0
18689,Ca7Ce7Co10Fe70Nd7Sb240,PF,,power factor,[0.0035],[295],0.0035,295.0
18690,SeSn,PF,,power factors,"[0.0002, 0.0004]","[300.0, 600.0]",0.00030000000000000003,450.0
18691,BiSb3Te6,PF,,power factor,[0.004],[373.0],0.004,373.0
18693,CNT,PF,,maximum power factor,[3.7999999999999995e-05],[295],3.8e-05,295.0
18694,S2Ti,PF,,power factor,[0.00045],[295],0.00045,295.0
18695,DEOPT,PF,,power factor,[0.000143],[300.0],0.000143,300.0
18696,EuSb2Zn2,PF,,S2σ,[0.0016],[600.0],0.0016,600.0
18697,Ba3Mg21Sb16,PF,,maximum power factor,[1.28e-05],[725.0],1.28e-05,725.0
18699,Mo3Sb7,PF,,P.F.,[0.00020099999999999998],[300.0],0.000201,300.0
18700,Mo29NiSb70,PF,,P.F.,[0.00028],[300.0],0.00028000000000000003,300.0
18701,Mo14NiSb35,PF,,P.F.,[0.000261],[300.0],0.000261,300.0
18702,Mo29NiSb70,PF,,highest P.F.,[0.00117],[850.0],0.00117,850.0
18703,FeMo29Sb70,PF,,highest P.F.,[0.00119],[850.0],0.00119,850.0
18704,Co16Sb47Te2,PF,,power factor,[0.0055],[673.0],0.0055000000000000005,673.0
18705,MgTe,PF,,p - type power factor,[0.0021999999999999997],[900.0],0.0022,900.0
18706,Cu7Te4,PF,,power factor,[6.000000000000001e-05],[650.0],6.0000000000000015e-05,650.0
18707,Cu2Te,PF,,maximum power factor,[0.00014],[650.0],0.00014,650.0
18708,Ag100NaSb99Se200,PF,,power factors,[0.0005700000000000001],[573.0],0.0005700000000000001,573.0
18709,NiSnZr,PF,,power factor,[0.00145],[873.0],0.00145,873.0
18710,NaPb49Se50,PF,,power factor,[0.00182],[860.0],0.00182,860.0
18711,NaPb49Se50,PF,,power factor,[0.00014],[310.0],0.00014,310.0
18712,NaPb49Se50,PF,,power factor,[0.00182],[860.0],0.00182,860.0
18713,NaPb49Se50,PF,,power factor,[0.00182],[860.0],0.00182,860.0
18714,S2Ti,PF,,power factor,[0.00145],[300.0],0.00145,300.0
18715,Ag11Gd6Sn94Te100,PF,,maximum power factor,[0.0018],[873.0],0.0018000000000000004,873.0
18718,Ag2Se,PF,,maximum PF,[0.000825],[295],0.000825,295.0
18719,Ag2Se,PF,,PF,[0.004654999999999999],[376.0],0.004654999999999999,376.0
18720,Ag2Se,PF,,PFs,[0.0009874],[300.0],0.0009874,300.0
18721,Ag2Se,PF,,average PF,[0.0006169999999999999],[295],0.0006169999999999999,295.0
18722,CrPb39Te40,PF,,power factor,[0.00365],[295],0.003650000000000001,295.0
18723,PbTe,PF,,power factor,[0.0038],[295],0.0038,295.0
18724,Cr3Pb197Se50Te150,PF,,power factor,[0.0024000000000000002],[295],0.0024,295.0
18725,Pb100Se100Zn,PF,,power factor,[0.00262],[523.0],0.0026200000000000004,523.0
18726,Pb40Se40Zn3,PF,,power factors,[0.00251],[523.0],0.00251,523.0
18728,AgCo9Na6O20,PF,,maximum power factor,[0.000444],[859.0],0.00044400000000000006,859.0
18729,AgCo9Na6O20,PF,,Power factor,[0.000444],[859.0],0.00044400000000000006,859.0
18730,NSbSr3,PF,,power factors,[0.00165],[600.0],0.0016500000000000002,600.0
18731,NSbSr3,PF,,power factor,[0.00165],[600.0],0.0016500000000000002,600.0
18732,SeSn,PF,,power factor,[0.00101],[600.0],0.00101,600.0
18733,Ba2Co40In5Sb120,PF,,highest power factor,[0.00303],[643.5],0.00303,643.5
18734,Ba2Co40In5Sb120,PF,,PF,[0.00303],[643.5],0.00303,643.5
18736,Ag18Mg20Sb19,PF,,PF,[0.00196],[573.0],0.0019600000000000004,573.0
18737,Ag90Mg97Sb95Zn3,PF,,PF,[0.0023],[573.0],0.0023,573.0
18738,Ag90Mg97Sb95Zn3,PF,,PF,[0.0013],[323.0],0.0013000000000000002,323.0
18739,HP3T,PF,,highest power factor,[2.23e-09],[295],2.2000000000000003e-09,295.0
18740,AINP,PF,,highest power factor,[1.47e-06],[295],1.47e-06,295.0
18741,CMNTW,PF,,highest power factor,[1.8e-06],[295],1.8000000000000001e-06,295.0
18742,Bi2Te3,PF,,highest power factor,[2.54e-06],[295],2.54e-06,295.0
18743,CNT,PF,,highest power factor,[3.78e-08],[295],3.78e-08,295.0
18744,O2Ti,PF,,highest power factor,[2.17e-06],[295],2.17e-06,295.0
18745,O2Ti,PF,,maximum power factor,[0.0005],[300.0],0.0005,300.0
18746,O2Ti,PF,,PF,[0.0005],[300.0],0.0005,300.0
18747,O2Ti,PF,,power factors,[0.00025],[900.0],0.00025,900.0
18748,O3SrTi,PF,,PF,[0.0015],[1000.0],0.0015,1000.0
18752,GeTe,PF,,PF,[0.0010400000000000001],[295],0.00104,295.0
18753,Co20Fe20Nd7Sb120,PF,,maximum power factor,[0.258],[714.0],0.258,714.0
18754,PbTe,PF,,PF,[0.0045000000000000005],[1000.0],0.0045000000000000005,1000.0
18755,OZn,PF,,power factor,[0.000484],[1000.0],0.000484,1000.0
18756,NbO200Zn199,PF,,highest PF,[0.000484],[1000.0],0.000484,1000.0
18757,NbO200Zn199,PF,,power factor,[0.000484],[1000.0],0.000484,1000.0
18758,SeSn,PF,,maximum power factors,[0.00174],[770.0],0.0017400000000000002,770.0
18759,Ni,PF,,power factor,[0.002],[873.0],0.002,873.0
18760,Ni,PF,,power factor,[0.0015],[773.0],0.0015,773.0
18761,Ni,PF,,power factor,[0.002],[873.0],0.002,873.0
18762,Co23Ni2S25Sb25,PF,,maximum power factor,[0.002],[873.0],0.002,873.0
18763,InMg8Pb60Sn131Te200,PF,,σS2,[0.0011],[300.0],0.0011,300.0
18766,Ca14Co20CuO45,PF,,power factor,[0.000814],[1073.0],0.0008139999999999999,1073.0
18767,BiNdO7Ru2,PF,,power factors,[0.00033],[1260.0],0.00033000000000000005,1260.0
18769,O44Ti25,PF,,highest power factor,[0.000755],[973.0],0.0007549999999999999,973.0
18770,Ge25Li4Mg196Sn75,PF,,peak power factor,[0.0018000000000000002],[723.0],0.0018000000000000004,723.0
18771,Ge25Li4Mg196Sn75,PF,,peak power factor,[0.0018000000000000002],[723.0],0.0018000000000000004,723.0
18772,Bi22Sb3,PF,,power factor,[0.0045000000000000005],[210.0],0.0045000000000000005,210.0
18773,C2O,PF,,power factor,[0.00041999999999999996],[1073.0],0.00042,1073.0
18774,Ag2BaSe4Sn,PF,,power factor,[3.5e-05],[623.0],3.5e-05,623.0
18775,Ag2000Ba1000Ga9Se4000Sn991,PF,,power factor,[0.00012109999999999999],[623.0],0.0001211,623.0
18776,Ag2000Ba1000Ga9Se4000Sn991,PF,,highest power factor,[0.00011309999999999998],[623.0],0.0001131,623.0
18777,SnTe,PF,,Power factor,[0.00034],[300.0],0.00033999999999999997,300.0
18778,SnTe,PF,,power factor,[0.00091],[600.0],0.00091,600.0
18779,Sb21Sn81Te100,PF,,power factor,[0.0018300000000000002],[600.0],0.00183,600.0
18780,In2Sb43Sn205Te250,PF,,power factors,[0.00125],[295],0.00125,295.0
18781,In7Sb170Se20Sn823Te980,PF,,power factor,[0.0024000000000000002],[923.0],0.0024,923.0
18782,NSTsW,PF,,power factor,[0.00015999999999999999],[295],0.00016,295.0
18783,Bi20Te33,PF,,maximum power factor,[0.00235],[312.0],0.00235,312.0
18784,Bi20Te33,PF,,highest power factor,[0.00235],[312.0],0.00235,312.0
18785,Bi20Te33,PF,,maximum power factor,[0.00235],[312.0],0.00235,312.0
18786,BiTe2Tl,PF,,power factor,[0.00038],[340.0],0.00037999999999999997,340.0
18787,CoSb3,PF,,maximum power factor,[0.0016],[550.0],0.0016,550.0
18788,Bi2Te3,PF,,power factor,[0.0040999999999999995],[300.0],0.0041,300.0
18789,Bi3Sb7Te15,PF,,highest power factor,[0.0002],[150.0],0.0002,150.0
18790,Bi2Te3,PF,,highest power factor,[0.0040999999999999995],[300.0],0.0041,300.0
18791,Bi2Te3,PF,,power factor,[0.0040999999999999995],[122.0],0.0041,122.0
18792,AlCuO2,PF,,power factor,[4.980000000000001e-05],[1140.0],4.98e-05,1140.0
18793,AlCuO2,PF,,power factor,[4.980000000000001e-05],[1140.0],4.98e-05,1140.0
18798,Ni20SbSn19Ti20,PF,,power factor,[0.00615],[650.0],0.00615,650.0
18799,DEOPT,PF,,power factor,[1.1089999999999999e-05],[300.0],1.109e-05,300.0
18801,DEOPT,PF,,highest power factor,"[7.5e-07, 1e-07]",[295],4.25e-07,295.0
18802,BST,PF,,power factor,[0.00467],[300.0],0.0046700000000000005,300.0
18803,Li,PF,,power factor,[0.00185],[723.0],0.00185,723.0
18804,BiSbTe,PF,,power factors,[0.005],[295],0.005,295.0
18805,DEOPT,PF,,PF,[0.00046899999999999996],[295],0.000469,295.0
18806,Nd93O100Sb100Sr7Zn100,PF,,power factor,[3.9e-06],[700.0],3.9e-06,700.0
18807,Sb4Sn21Te25,PF,,power factors,[0.0025],[750.0],0.0025,750.0
18809,Bi2S2Se,PF,,power factor,[0.00043],[523.0],0.00043,523.0
18810,Bi2S3,PF,,power factor,[0.00029499999999999996],[523.0],0.000295,523.0
18811,Bi2S2Se,PF,,power factor,[0.000603],[773.0],0.000603,773.0
18812,O7Tb4,PF,,power factor,[2.88e-06],[973.0],2.88e-06,973.0
18813,S125Ti63,PF,,S2 / ρ,[0.0013000000000000002],[663.0],0.0013000000000000002,663.0
18814,S125Ti63,PF,,S2 / ρ,[0.0013000000000000002],[663.0],0.0013000000000000002,663.0
18815,Hf30Ni50SbSn49Zr20,PF,,power factor,[0.00439],[790.0],0.004390000000000001,790.0
18816,DEOPT,PF,,highest power factor,[5e-07],[360.0],5e-07,360.0
18817,DEOPT,PF,,highest power factor,[5e-07],[360.0],5e-07,360.0
18818,DEOPT,PF,,maximum power factor,[5e-07],[360.0],5e-07,360.0
18819,Bi2Te3,PF,,PF,[0.0006799999999999999],[293.0],0.0006799999999999999,293.0
18820,Bi2Te3,PF,,S2σ,[0.00151],[295],0.00151,295.0
18821,PbTe,PF,,power factor,[700.0],[600.0],700.0,600.0
18822,Cu150Sb49Se200Sn,PF,,highest PF,[1310.0],[300.0],1310.0,300.0
18823,GeTe,PF,,PF,[2.2e-05],[300.0],2.2e-05,300.0
18824,OZn,PF,,PF,[39000.0],[300.0],39000.0,300.0
18825,B50CuS50T50,PF,,PF,[0.0022600000000000003],[525.0],0.0022600000000000003,525.0
18826,B50CuS50T50,PF,,PF,[0.00162],[525.0],0.00162,525.0
18828,Bi2Te3,PF,,PF,[3.9e-06],[295],3.9e-06,295.0
18829,DEOPT,PF,,PF,[5e-08],[295],5e-08,295.0
18831,SeSn,PF,,PF,[0.0007700000000000001],[650.0],0.0007700000000000001,650.0
18832,Cu21Fe9Se40Sn10,PF,,maximum PF,[0.00059],[800.0],0.00059,800.0
18833,Fe8Mo52Sb135Te5,PF,,highest P.F.,[0.0019],[850.0],0.0019,850.0
18834,Mo150Ni3Sb270Te80,PF,,P.F.,[0.00252],[850.0],0.00252,850.0
18835,Mo15Sb27Te8,PF,,P.F.,[0.0019399999999999999],[850.0],0.0019399999999999999,850.0
18836,LaNb,PF,,PFs,"[0.00165, 0.0017]",[1100.0],0.0016749999999999998,1100.0
18837,Co40In3La5Sb120,PF,,maximum power factor,[3390.0],[644.0],3390.0,644.0
18838,Bi,PF,,maximum power factor,[0.002],[840.0],0.002,840.0
18839,Al2NiO100Zn97,PF,,power factor,[0.000616],[673.0],0.000616,673.0
18840,Al2NiO100Zn97,PF,,highest PF,[0.000616],[773.0],0.000616,773.0
18841,AlNiO50Zn48,PF,,highest PF,[0.000496],[773.0],0.000496,773.0
18842,Al2NiO100Zn97,PF,,power factor,[0.000616],[673.0],0.000616,673.0
18843,AgBiOSe,PF,,maximum PF,[0.025],[500.0],0.025,500.0
18844,AgBiOSe,PF,,maximum PF,[0.057],[700.0],0.057,700.0
18845,AgBiOSe,PF,,n - type PF,[0.0325],[900.0],0.0325,900.0
18846,Cu12S13Sb4,PF,,S2 / ρ,[0.001],[673.0],0.001,673.0
18847,SSn,PF,,maximum power factor,[0.000134],[823.0],0.000134,823.0
18848,SSn,PF,,maximum power factor,[0.000693],[800.0],0.0006929999999999999,800.0
18849,S,PF,,maximum power factor,[0.000622],[521.0],0.0006219999999999999,521.0
18850,S,PF,,maximum power factor,[0.0005070000000000001],[521.0],0.0005070000000000001,521.0
18851,Bi25Mg160Pr2Sb75,PF,,power factor,[0.0018600000000000003],[725.0],0.00186,725.0
18852,Bi25Mg160Pr2Sb75,PF,,power factor,[0.0018600000000000003],[725.0],0.00186,725.0
18853,CoSbTi,PF,,maximum power factors,[0.00055],[550.0],0.00055,550.0
18854,Pristine,PF,,PF,[0.0013100000000000002],[700.0],0.0013100000000000002,700.0
18855,AgSe2Sn,PF,,PF,[0.001],[350.0],0.001,350.0
18856,AgSe2Sn,PF,,maximum PF,[0.00142],[625.0],0.0014199999999999998,625.0
18857,BiCuOSe,PF,,power factor,[0.000254],[750.0],0.000254,750.0
18858,Bi44Cu50Mg3O50Pb3Se50,PF,,maximum power factor,[0.00111],[750.0],0.0011099999999999999,750.0
18859,BiCuOSe,PF,,PF,[0.00081],[923.0],0.0008100000000000001,923.0
18860,Bi8CaCu10O10PbSe10,PF,,PF,[0.0009000000000000001],[873.0],0.0009000000000000002,873.0
18861,Bi44Cu50Mg3O50Pb3Se50,PF,,power factor,[0.00111],[750.0],0.0011099999999999999,750.0
18862,Bi,PF,,highest σS2,[0.000635],[800.0],0.0006349999999999999,800.0
18863,Bi,PF,,maximum power factor,[0.000635],[800.0],0.0006349999999999999,800.0
18864,Bi,PF,,σS2,[0.00026000000000000003],[295],0.00026000000000000003,295.0
18865,PS2,PF,,maximum power factor,[2.5e-08],[398.0],2.5e-08,398.0
18866,DEOPT,PF,,maximum power factor,[4.5e-08],[390.0],4.5000000000000006e-08,390.0
18867,DEOPT,PF,,maximum power factor,[7.28e-06],[298.0],7.28e-06,298.0
18868,PS2,PF,,maximum power factor,[2.5e-08],[398.0],2.5e-08,398.0
18869,Hf30Ni50Sb49SnZr20,PF,,power factors,[0.00439],[1000.0],0.004390000000000001,1000.0
18870,NiPbZr,PF,,power factor,[0.0005200000000000001],[295],0.0005200000000000001,295.0
18871,HfNi2Sn2Zr,PF,,power factor,[0.00030000000000000003],[295],0.00030000000000000003,295.0
18872,BCOS,PF,,power factor,[0.00029],[295],0.00029,295.0
18873,BCOS,PF,,power factor,[0.00092],[973.0],0.0009199999999999999,973.0
18874,Mg2Sn,PF,,maximum power factor,[0.005],[295],0.005,295.0
18875,GeMg2,PF,,power factors,[0.0006000000000000001],"[600.0, 1000.0]",0.0006000000000000001,800.0
18876,Mg2Sn,PF,,power factor,[0.005019999999999999],[295],0.00502,295.0
18877,PbS,PF,,power factors,[6e-06],[460.0],6e-06,460.0
18878,PbS,PF,,power factor,[6e-06],[460.0],6e-06,460.0
18879,PbSe,PF,,maximum power factor,[9.5e-05],[460.0],9.5e-05,460.0
18880,HMS,PF,,PF,[0.002],[800.0],0.002,800.0
18881,BST,PF,,maximum power factor,[0.001],[298.0],0.001,298.0
18882,Mg3Sb2,PF,,maximum power factor,[0.00019800000000000002],[673.0],0.000198,673.0
18883,Bi2Te3,PF,,power factor,[0.00491],[300.0],0.00491,300.0
18884,Cu393Pb3Se200,PF,,maximum power factor,[0.001454],[800.0],0.001454,800.0
18885,Cu150Sb47Se200Sn3,PF,,maximum PF,[0.0017],[620.0],0.0017,620.0
18886,PbS,PF,,power factor,[0.00071],[300.0],0.0007099999999999999,300.0
18887,Co20Sb17Sn3Ti20,PF,,power factor,[0.00168],[980.0],0.00168,980.0
18888,Mn37Na3Te40,PF,,power factors,[0.0009],[873.0],0.0009000000000000002,873.0
18889,CNTs,PF,,power factor,[0.00074],[295],0.0007400000000000001,295.0
18890,Bi2Se3,PF,,S2σ,[0.00010300000000000001],[290.0],0.000103,290.0
18891,Bi2Te3,PF,,S2σ,[0.0025],[295],0.0025,295.0
18892,Bi2Te3,PF,,S2σ,[0.00024900000000000004],[295],0.00024900000000000004,295.0
18893,Bi2Te3,PF,,S2σ,[0.0025],[295],0.0025,295.0
18894,Cu3NbS4,PF,,power factor,[9.7e-09],[306.0],9.7e-09,306.0
18896,O3SrTi,PF,,power factors,"[0.0028, 0.0036000000000000003]",[300.0],0.0032,300.0
18897,La5Na5Nb2O30Ti8,PF,,maximum power factor,[0.00062],[700.0],0.00062,700.0
18898,CeO2,PF,,power factor,[0.0625],[673.0],0.0625,673.0
18899,Co2O3,PF,,power factor,[1.2e-07],[873.0],1.2000000000000002e-07,873.0
18900,Co20Nb17Sb20,PF,,power factor,[0.00275],[950.0],0.0027500000000000003,950.0
18901,Co20Nb17Sb20,PF,,S2 / ρ,[0.0025],[973.0],0.0025,973.0
18902,PbTe,PF,,PF,[0.00204],"[673.0, 723.0]",0.0020399999999999997,698.0
18903,PbTe,PF,,power factor,[0.00204],[723.0],0.0020399999999999997,723.0
18904,DEOPT,PF,,power factor,[0.000143],[300.0],0.000143,300.0
18905,Mg20Si3Sn7,PF,,power factor,[0.0047],[523.0],0.0047,523.0
18906,Mg20Si3Sn7,PF,,PF,[0.0055000000000000005],[623.0],0.0055000000000000005,623.0
18907,Ge44Mg400Sb3Sn153,PF,,power factor,[0.0046],[295],0.0046,295.0
